Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
1827,1827,658002,100,De Baarsjes - Oud-West,Apartment,1,1,2
1828,1828,658049,100,De Baarsjes - Oud-West,Apartment,1,1,2
1829,1829,658063,105,De Baarsjes - Oud-West,Apartment,1,1,2
1830,1830,2719062,125,Centrum-West,Apartment,1,2,3
1831,1831,1738313,95,De Baarsjes - Oud-West,Apartment,1,1,2
1832,1832,1362388,395,Noord-Oost,Boat,,3,2
1833,1833,4281581,579,Centrum-Oost,Boat,2,3,2
1834,1834,4281043,451,Centrum-West,Boat,1,2,2
1835,1835,1362275,281,Zuid,Apartment,2,5,2
1836,1836,1289843,210,Westerpark,Apartment,1,3,2
1837,1837,659610,353,Centrum-Oost,Boat,1,2,2
1838,1838,4281417,389,Centrum-Oost,Boat,1,2,2
1839,1839,952307,320,Oostelijk Havengebied - Indische Buurt,Boat,1,4,3
1840,1840,740256,210,Oud-Noord,Boat,1,4,2
1841,1841,952520,246,Oostelijk Havengebied - Indische Buurt,House,2,3,2
1842,1842,954107,120,Oostelijk Havengebied - Indische Buurt,House,1,3,2
1843,1843,5388548,140,Oostelijk Havengebied - Indische Buurt,Apartment,1,2,2
1844,1844,660854,282,Westerpark,Boat,,2,2
1845,1845,1804594,281,Watergraafsmeer,House,2,2,2
1846,1846,1314392,120,Watergraafsmeer,Apartment,1,2,2
1847,1847,937950,200,Centrum-West,Boat,1,2,2
1848,1848,958902,246,Westerpark,Apartment,1.5,2,2
1849,1849,950420,140,Watergraafsmeer,House,1,2,2
1850,1850,1362109,330,Oud-Noord,Boat,3,,1
1851,1851,2555908,389,Westerpark,Boat,1,3,2
1852,1852,958816,180,Westerpark,Boat,1.5,3,2
1853,1853,952434,140,Oostelijk Havengebied - Indische Buurt,Apartment,1,3,2
1854,1854,1362318,120,Bos en Lommer,Apartment,,3,2
1855,1855,661373,309,Westerpark,Boat,1,2,2
1856,1856,958993,140,Westerpark,Apartment,1.5,2,2
1857,1857,5341043,196,Centrum-Oost,Apartment,1,2,2
1858,1858,743642,318,Westerpark,Boat,,2,2
1859,1859,740119,190,Centrum-Oost,Boat,1,2,2
1860,1860,1362123,223,Oud-Noord,Boat,1,2,1
1861,1861,1086435,160,Zuid,Apartment,1,1,2
1862,1862,960829,180,Centrum-Oost,Apartment,1,1,2
1863,1863,661333,125,Oostelijk Havengebied - Indische Buurt,Boat,1,1,2
1864,1864,5102040,160,De Pijp - Rivierenbuurt,Apartment,1,1,3
1865,1865,3470830,180,Centrum-Oost,Boat,1,1,2
1866,1866,4790408,160,De Baarsjes - Oud-West,Boat,1,1,3
1867,1867,743629,240,Centrum-West,Boat,1,1,2
1868,1868,3546411,180,Centrum-Oost,Boat,1,0,1
1869,1869,1289495,160,Centrum-Oost,Apartment,1,2,2
1870,1870,740138,172,Oostelijk Havengebied - Indische Buurt,Boat,1,2,2
1871,1871,954175,180,Centrum-West,Boat,1,1,3
1872,1872,954122,120,Centrum-Oost,Apartment,1,1,2
1873,1873,662603,140,Oud-Noord,Boat,1,1,2
1874,1874,1757090,100,Centrum-Oost,Boat,0.5,1,2
1875,1875,742024,160,De Baarsjes - Oud-West,Boat,1,1,2
1876,1876,662589,120,Centrum-Oost,Bed & Breakfast,1,1,2
1877,1877,743667,140,Centrum-Oost,Boat,1,1,3
1878,1878,954257,160,Centrum-Oost,Boat,1,1,2
1879,1879,954325,140,Westerpark,Boat,1,1,2
1880,1880,2077847,150,De Baarsjes - Oud-West,Apartment,1,1,2
1881,1881,1289936,140,Centrum-West,Apartment,1,1,2
1882,1882,743637,200,Centrum-West,Boat,1,1,2
1883,1883,958880,180,Centrum-West,Apartment,,1,2
1884,1884,950472,120,Centrum-Oost,Apartment,,1,2
1885,1885,954202,100,Oud-Noord,Boat,1,1,1
1886,1886,1362159,100,Oud-Noord,Boat,,1,2
1887,1887,3957199,140,Centrum-Oost,Boat,1,0,2
1888,1888,3957290,140,Centrum-Oost,Boat,1,0,2
1889,1889,4055810,95,De Baarsjes - Oud-West,Apartment,1,0,1
1890,1890,660194,95,De Pijp - Rivierenbuurt,Apartment,1,1,2
1891,1891,879986,70,De Pijp - Rivierenbuurt,Bed & Breakfast,1,1,2
1892,1892,923220,65,Bos en Lommer,Apartment,1,1,1
1893,1893,3602515,120,Bos en Lommer,Apartment,1,1,1
1894,1894,3444233,60,Geuzenveld - Slotermeer,House,1,1,2
1895,1895,699804,109,Oud-Oost,Apartment,1,1,3
1896,1896,3489363,70,De Pijp - Rivierenbuurt,Apartment,1,0,2
1897,1897,3911407,150,Centrum-West,Apartment,1,1,7
1898,1898,980486,90,Westerpark,Apartment,1,2,3
1899,1899,3703484,100,Centrum-West,Apartment,1.5,1,2
1900,1900,2949320,75,Oud-Oost,Apartment,1,2,3
1901,1901,1830345,155,Centrum-Oost,Apartment,1,2,3
1902,1902,1801900,75,Centrum-Oost,Apartment,1,1,2
1903,1903,663124,350,De Baarsjes - Oud-West,Apartment,1.5,2,2
1904,1904,3895801,100,Westerpark,Apartment,1,1,3
1905,1905,663390,100,Oud-Oost,House,1,2,4
1906,1906,5734825,130,Bos en Lommer,House,1,1,4
1907,1907,663697,225,Centrum-Oost,Apartment,2,2,7
1908,1908,4448420,99,Bos en Lommer,Apartment,1,2,2
1909,1909,664270,42,De Pijp - Rivierenbuurt,Apartment,1,1,2
1910,1910,4898741,195,Centrum-Oost,Boat,1,2,1
1911,1911,729965,47,Westerpark,Apartment,0.5,1,1
1912,1912,780844,650,Westerpark,Boat,4,10,2
1913,1913,779175,70,Westerpark,Boat,4,1,2
1914,1914,1017843,70,Westerpark,Boat,4,1,2
1915,1915,1840212,90,Westerpark,Boat,4,1,1
1916,1916,4577651,90,Westerpark,Boat,4,1,3
1917,1917,673672,135,Centrum-Oost,Boat,1,1,1
1918,1918,4748130,140,Oud-Oost,Apartment,1,1,4
1919,1919,665064,145,Centrum-West,Apartment,2,3,5
1920,1920,665250,107,De Pijp - Rivierenbuurt,Apartment,1,2,14
1921,1921,1215407,80,Oostelijk Havengebied - Indische Buurt,Apartment,2,1,4
1922,1922,3508256,100,Centrum-West,Apartment,1,1,3
1923,1923,666142,110,De Baarsjes - Oud-West,Apartment,1,2,3
1924,1924,666602,125,De Pijp - Rivierenbuurt,Apartment,1,1,3
1925,1925,2078813,119,Centrum-West,Apartment,1.5,1,3
1926,1926,667305,100,Noord-West,House,1,1,2
1927,1927,667333,110,Centrum-West,Apartment,1,1,3
1928,1928,667411,75,De Baarsjes - Oud-West,Apartment,1,1,1
1929,1929,1227524,100,Westerpark,Apartment,1.5,2,2
1930,1930,667543,119,Centrum-Oost,Apartment,1,1,2
1931,1931,667587,76,De Baarsjes - Oud-West,Apartment,1,1,3
1932,1932,667734,80,Westerpark,Apartment,1,1,3
1933,1933,668912,120,Centrum-West,Apartment,1,1,2
1934,1934,5311226,47,De Pijp - Rivierenbuurt,Apartment,1,1,1
1935,1935,2972798,189,Centrum-Oost,Boat,1.5,1,3
1936,1936,5348844,159,De Baarsjes - Oud-West,House,1,1,3
1937,1937,1797614,150,Centrum-Oost,Apartment,1,1,2
1938,1938,670450,82,Westerpark,Apartment,1,1,4
